"store_code","store_name","branch_code","branch_name","fc_code","flagroute","mds_name","latitude","longitude","tipe_toko","","","",""
"1V01","A YANI 2 LAMTENG [AY2L]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-4.935803","105.20196","AC 10P COKE","","1V01,1VZ1,1V93","",""
"1V02","YUKUM JAYA 3 [YJA3]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-4.90187","105.21142","AC 10P COKE","","1V02,1VZ1,1V93","",""
"1V05","SUKADANA TENGAH","1VZ1","METRO","1VZ1","L086","AHMAD GHOZALI","-5.093819","105.593169","","","1V05,1VZ1,L086","",""
"1V11","KOTA GAJAH 4 [KTG4]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-4.981533","105.313744","AC 10P COKE","","1V11,1VZ1,1V93","",""
"1V15","PANGGUNGAN [PNGAN]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.005543","105.208317","AU 10P COKE","","1V15,1VZ1,1V93","",""
"1V21","SEPUTIH JAYA [SPJY]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-4.958068","105.215857","AU 10P COKE","","1V21,1VZ1,1V93","",""
"1V23","SEPUTIH RAMAN 2 [SPRM2]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-4.891966","105.389435","","","1V23,1VZ1,1V93","",""
"1V27","DONO ARUM [DOAM]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-4.94035","105.14085","AU 10P COKE","","1V27,1VZ1,1V93","",""
"1V35","PUNGGUR [PGGR]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.026901","105.264362","","","1V35,1VZ1,1V93","",""
"1V53","RAMA INDERA [RAIRA]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-4.930248","105.345938","","","1V53,1VZ1,1V93","",""
"1V55","SPBU SEPUTIH BANYAK/F [SPBUSB]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-4.863478","105.413628","","","1V55,1VZ1,1V93","",""
"1V58","TEMPURAN [TMPR]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.123243","105.275469","AU 10P COKE","","1V58,1VZ1,1V93","",""
"1V59","BEKRI [BKRI]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.101438","105.160599","","","1V59,1VZ1,1V93","",""
"1V61","DR. SUTOMO 2 METRO [DST2M]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.093779","105.302155","AU 10P COKE","","1V61,1VZ1,1V93","",""
"1V85","IMAM BONJOL 2 METRO/F [IB2M]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.109233","105.302824","AU 8P COKE","","1V85,1VZ1,1V93","",""
"1V88","SOEKARNO HATTA 3 MTR/F [SH3M]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.136672","105.303117","AU 10P COKE","","1V88,1VZ1,1V93","",""
"1V93","JENSUD METRO [JSMT]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.114330","105.299661","AC 10P COKE","","1V93,1VZ1,1V93","",""
"1V96","IRING MULYO [IRMO]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.118639","105.324053","AU 10P COKE","","1V96,1VZ1,1V93","",""
"1V99","ADIREJO [ADJO]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.091821","105.344962","AC 10P COKE","","1V99,1VZ1,1V93","",""
"1VD6","AA MART/F [AMRT]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.096057","105.190775","AU 8P NON COKE","","1VD6,1VZ1,1V93","",""
"1VD7","BUDI UTOMO [BDTM]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.138517","105.303573","AU 10P COKE","","1VD7,1VZ1,1V93","",""
"1VK8","KSB SIDOREJO/F [KSSJ]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.297703","105.609775","","","1VK8,1VZ1,1V93","",""
"1VL1","MATARAM MARGA [MRMG]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.075636","105.525722","","","1VL1,1VZ1,1V93","",""
"1VL8","PURWOSARI/F [PUSR]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.090025","105.291369","AU 10P COKE","","1VL8,1VZ1,1V93","",""
"1VM8","PURWOASRI METRO [PWAI]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.073831","105.313003","AC 10P COKE","","1VM8,1VZ1,1V93","",""
"1VM9","SUTAN SYAHRIR METRO [SSYR]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.135733","105.308816","AC 10P COKE","","1VM9,1VZ1,1V93","",""
"1VN6","SUKADANA 2/F [SUKN]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.062071","105.548700","","","1VN6,1VZ1,1V93","",""
"1VN8","YOS SUDARSO 2 METRO [YSSM]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.122409","105.301732","","","1VN8,1VZ1,1V93","",""
"1VO4","KSB MASJID ISTIQLAL/F [KMJI]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-4.935075","105.212044","AC 10P COKE","","1VO4,1VZ1,1V93","",""
"1VR2","KSO FF MART/F [KSFM]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-4.8831472","105.2210822","AC 12P COKE","","1VR2,1VZ1,1V93","",""
"1VR5","RAYA SUKOHARJO/F [RYSU]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.300245","104.982097","AC 10P COKE","","1VR5,1VZ1,1V93","",""
"1VS1","KSO YOGI MART/F [KSYM]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-4.920397","105.212793","AC 10P COKE","","1VS1,1VZ1,1V93","",""
"1VU3","VETERAN METRO/F [VTRO]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.107091","105.293535","AC 10P COKE","","1VU3,1VZ1,1V93","",""
"1VU4","KSO SPBU TEJOAGUNG/F [KPTJ]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.124464","105.321735","AC 10P COKE","","1VU4,1VZ1,1V93","",""
"1VU9","RAYA SEKAMPUNG [RSKU]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.133684","105.410091","","","1VU9,1VZ1,1V93","",""
"1VV8","BANJAR REJO/F [BANRE]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.119171","105.334847","AC 10P COKE","","1VV8,1VZ1,1V93","",""
"1VV9","LINTAS GANJAR AGUNG/F [LAJAR]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.139826","105.278834","AC 10P COKE","","1VV9,1VZ1,1V93","",""
"1VW4","PURWOSARI LAMTIM [PWLA]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-4.984286","105.331762","","","1VW4,1VZ1,1V93","",""
"1VX8","REJO BASUKI","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-4.961421","105.332216","","","1VX8,1VZ1,1V93","",""
"1VY3","LINTAS TEMPURAN","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.139861","105.270513","AC 10P COKE","","1VY3,1VZ1,1V93","",""
"L003","PROKLAMATOR [L_PLR]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-4.93689","105.21238","AU 8P COKE","","L003,1VZ1,L609","",""
"L023","SUKARSO LAMPUNG [L_SKRO]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.112260","105.305882","AU 10P COKE","","L023,1VZ1,L609","",""
"L024","A. YANI METRO [L_AYMT]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.119395","105.319416","AU 10P COKE","","L024,1VZ1,L609","",""
"L025","RAYA PUNGGUR [L_RYPR]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.039059","105.275223","AC 10P COKE","","L025,1VZ1,L609","",""
"L026","AH. NASUTION [L_AHN]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.105552","105.333017","AC 10P COKE","","L026,1VZ1,L609","",""
"L028","IMAM BONJOL [L_IMBL]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.104724","105.298882","AC 10P COKE","","L028,1VZ1,L609","",""
"L037","GANJAR AGUNG [L_GJA]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.129261","105.284366","AU 10P COKE","","L037,1VZ1,L609","",""
"L039","A. YANI 2 LAMPUNG [L_AYI2]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-4.933817","105.210244","AU 10P COKE","","L039,1VZ1,L609","",""
"L040","PATIMURA LAMPUNG [L_PTMR]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.094682","105.283873","AU 10P COKE","","L040,1VZ1,L609","",""
"L041","SOEKARNO HATTA - LPG [L_SRHT]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.138111","105.296855","AU 10P COKE","","L041,1VZ1,L609","",""
"L047","JL.RIYACHUDU - LPG [L_RHU]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.117646","105.303700","AU 10P COKE","","L047,1VZ1,1V93","",""
"L051","PEKALONGAN LPG [PKLN]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.082985","105.359347","AU 8P COKE","","L051,1VZ1,L609","",""
"L052","RADEN INTAN LPG [RDIN]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.110946","105.310406","AU 8P COKE","","L052,1VZ1,L609","",""
