Store Code,DC Code,DC Name,Nama Toko,Kelurahan,Kecamatan,Kab/Kota,Latitude,Longitude,Tipe
,,,SAT IMOGIRI TIMUR KM 2,,,,-7.841015,110.391632,ALFAMART
(W028),DC_REG,DC REGIONAL,IBRAHIM UMAR,-,-,KOTA JAKARTA PUSAT,-6.208800,106.845600,ALFAMART
(W068),DC_REG,DC REGIONAL,STASIUN MEDAN,-,-,KOTA MEDAN,3.590245,98.676358,ALFAMART
(W077),DC_REG,DC REGIONAL,LIMAU MANIS,-,-,KOTA JAKARTA PUSAT,-6.208800,106.845600,ALFAMART
(W078),DC_REG,DC REGIONAL,HM YAMIN,-,-,KOTA JAKARTA PUSAT,-6.208800,106.845600,ALFAMART
(W086),DC_REG,DC REGIONAL,MENTENG 2,-,-,KOTA JAKARTA PUSAT,-6.208800,106.845600,ALFAMART
(W095),DC_REG,DC REGIONAL,BILAL,-,-,KOTA JAKARTA PUSAT,-6.208800,106.845600,ALFAMART
(W099),DC_REG,DC REGIONAL,GAHARU,-,-,KOTA JAKARTA PUSAT,-6.208800,106.845600,ALFAMART
(W105),DC_REG,DC REGIONAL,M NAWI HARAHAP,-,-,KOTA JAKARTA PUSAT,-6.208800,106.845600,ALFAMART
(W112),DC_REG,DC REGIONAL,SM RAJA,-,-,KOTA JAKARTA PUSAT,-6.208800,106.845600,ALFAMART
(W121),DC_REG,DC REGIONAL,TAMORA,-,-,KOTA JAKARTA PUSAT,-6.208800,106.845600,ALFAMART
(W147),DC_REG,DC REGIONAL,RAYA MENTENG,-,-,KOTA JAKARTA PUSAT,-6.208800,106.845600,ALFAMART
(W162),DC_REG,DC REGIONAL,HOTEL CORDELA,-,-,KOTA JAKARTA PUSAT,-6.208800,106.845600,ALFAMART
(W172),DC_REG,DC REGIONAL,RAKYAT,-,-,KOTA JAKARTA PUSAT,-6.208800,106.845600,ALFAMART
(W212),DC_REG,DC REGIONAL,BAMBU 2,-,-,KOTA JAKARTA PUSAT,-6.208800,106.845600,ALFAMART
(W339),DC_REG,DC REGIONAL,PERINTIS,-,-,KOTA JAKARTA PUSAT,-6.208800,106.845600,ALFAMART
(W367),DC_REG,DC REGIONAL,MENTENG INDAH RAYA,-,-,KOTA JAKARTA PUSAT,-6.208800,106.845600,ALFAMART
(W377),DC_REG,DC REGIONAL,RAYA LIMAU MANIS,-,-,KOTA JAKARTA PUSAT,-6.208800,106.845600,ALFAMART
